Title,Year,Credited as,Role,Director(s)
Deewana,1992,Actor,Sahay !Raja Sahay,Kanwar !Raj Kanwar
Chamatkar,1992,Actor,Srivastava !Sunder Srivastava,Mehra !Rajiv Mehra
Dil Aashna Hai,1992,Actor,Singh !Karan Singh,Malini !Hema Malini
Raju Ban Gaya Gentleman,1992,Actor,Mathur !Raj Mathur,Mirza !Aziz Mirza
Maya Memsaab,1993,Actor,Kumar !Lalit Kumar,Mehta !Ketan Mehta
Pehla Nasha,1993,Actor,Himself,Gowariker !Ashutosh Gowariker
King Uncle,1993,Actor,Bhansal !Anil Bhansal,Roshan !Rakesh Roshan
Baazigar,1993,Actor,Malhotra !Vicky Malhotra / Ajay Sharma[a],Abbas-Mustan
Darr,1993,Actor,Mehra !Rahul Mehra,Chopra !Yash Chopra
Kabhi Haan Kabhi Naa,1994,Actor,Sunil,Shah !Kundan Shah
Anjaam,1994,Actor,Agnihotri !Vijay Agnihotri,Rawail !Rahul Rawail
Karan Arjun,1995,Actor,Singh !Arjun Singh / Vijay[b],Roshan !Rakesh Roshan
Zamaana Deewana,1995,Actor,Singh !Rahul Singh,Sippy !Ramesh Sippy
Guddu,1995,Actor,Bahadur !Guddu Bahadur,Alvi !Abrar Alvi
Oh Darling! Yeh Hai India!,1995,Actor,Hero,Mehta !Ketan Mehta
Dilwale Dulhania Le Jayenge,1995,Actor,Malhotra !Raj Malhotra,Chopra !Aditya Chopra
Ram Jaane,1995,Actor,Jaane !Ram Jaane,Mehra !Rajiv Mehra
Trimurti,1995,Actor,Singh !Romi Singh,Anand !Mukul S. Anand
English Babu Desi Mem,1996,Actor,Mayur !Gopal Mayur / Hari Mayur / Vikram Mayur[c],Nischol !Praveen Nischol
Chaahat,1996,Actor,Rathore !Roop Rathore,Bhatt !Mahesh Bhatt
Army,1996,Actor,Major Arjun Singh,Shetty !Ram Shetty
Dushman Duniya Ka,1996,Actor,Badru,Ali !Mehmood Ali
Gudgudee,1997,Actor,Unknown,Chatterjee !Basu Chatterjee
Koyla,1997,Actor,Shankar,Roshan !Rakesh Roshan
Yes Boss,1997,Actor,Joshi !Rahul Joshi,Mirza !Aziz Mirza
Pardes,1997,Actor,Sagar !Arjun Sagar,Ghai !Subhash Ghai
Dil To Pagal Hai,1997,Actor,Rahul,Chopra !Yash Chopra
Duplicate,1998,Actor,Chaudhry !Bablu Chaudhry / Manu Dada[b],Bhatt !Mahesh Bhatt
Achanak,1998,Actor,Himself,Malhotra !Naresh Malhotra
Dil Se..,1998,Actor,Verma !Amarkant Verma,Ratnam !Mani Ratnam
Kuch Kuch Hota Hai,1998,"Actor, action director",Khanna !Rahul Khanna,Johar !Karan Johar
Baadshah,1999,"Actor, playback singer",Raj / Baadshah[a],Abbas-Mustan
Phir Bhi Dil Hai Hindustani,2000,"Actor, producer",Bakshi !Ajay Bakshi,Mirza !Aziz Mirza
Hey Ram,2000,Actor,Khan !Amjad Khan,Haasan !Kamal Haasan
Josh,2000,"Actor, playback singer","Dias !Max ""Maxy"" Dias",Khan !Mansoor Khan
Har Dil Jo Pyar Karega,2000,Actor,Rahul,Kanwar !Raj Kanwar
Mohabbatein,2000,Actor,Malhotra !Raj Aryan Malhotra,Chopra !Aditya Chopra
Gaja Gamini,2000,Actor,Himself,Husain !M. F. Husain
One 2 Ka 4,2001,Actor,Verma !Arun Verma,Nair !Shashilal K. Nair
